#: table_doi: 10.17182/hepdata.90831.v1/t483
#: name: table no 483
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),away region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_483.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0095,0.0022,-0.0022,0.0011,-0.0011,0.0017,-0.0017
0.23500000000000001,0.14,0.33,0.0172,0.0028,-0.0028,0.002,-0.002,0.0013,-0.0013
0.43000000000000005,0.33,0.53,0.021,0.0027,-0.0027,0.0008,-0.0008,0.0019,-0.0019
0.625,0.53,0.72,0.0228,0.0026,-0.0026,0.0009,-0.0009,0.0016,-0.0016
0.815,0.72,0.91,0.02,0.002,-0.002,0.001,-0.001,0.002,-0.002
1.0050000000000001,0.91,1.1,0.0239,0.0024,-0.0024,0.001,-0.001,0.0013,-0.0013
1.195,1.1,1.29,0.0231,0.0023,-0.0023,0.0014,-0.0014,0.0016,-0.0016
1.385,1.29,1.48,0.0299,0.0023,-0.0023,0.0013,-0.0013,0.0017,-0.0017
1.575,1.48,1.67,0.0269,0.0026,-0.0026,0.0013,-0.0013,0.0018,-0.0018
1.7650000000000001,1.67,1.86,0.0285,0.0023,-0.0023,0.0021,-0.0021,0.0025,-0.0025
2.1,1.86,2.34,0.0347,0.0022,-0.0022,0.0015,-0.0015,0.0014,-0.0014
2.5300000000000002,2.34,2.72,0.0443,0.0025,-0.0025,0.0022,-0.0022,0.0022,-0.0022
2.91,2.72,3.1,0.0483,0.0025,-0.0025,0.0036,-0.0036,0.0026,-0.0026
3.295,3.1,3.49,0.0668,0.0028,-0.0028,0.0026,-0.0026,0.003,-0.003
3.68,3.49,3.87,0.0819,0.0029,-0.0029,0.0033,-0.0033,0.004,-0.004
4.105,3.87,4.34,0.0912,0.0029,-0.0029,0.0034,-0.0034,0.0035,-0.0035
4.58,4.34,4.82,0.1051,0.0035,-0.0035,0.0043,-0.0043,0.0037,-0.0037
5.0600000000000005,4.82,5.3,0.133,0.0035,-0.0035,0.0043,-0.0043,0.003,-0.003
5.54,5.3,5.78,0.139,0.004,-0.004,0.004,-0.004,0.002,-0.002

